GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SemesterProjectTestM,database,ReallyDataSource,3,44,0,0,2,13,0,2,0,2
SemesterProjectTestM,database,MainMapper,407,8,14,0,122,2,17,1,10,1
SemesterProjectTestM,database,CourseMapper,178,162,8,4,57,26,5,6,1,4
SemesterProjectTestM,database,StudentMapper,62,0,8,0,16,0,6,0,2,0
SemesterProjectTestM,database,TestDataSource,3,44,0,0,2,13,0,2,0,2
SemesterProjectTestM,database,DatabaseConnector,53,26,8,4,17,13,8,4,2,4
SemesterProjectTestM,database,LoginMapper,54,13,2,0,16,4,2,2,1,2
SemesterProjectTestM,entity,Course,85,20,0,0,24,7,12,2,12,2
SemesterProjectTestM,entity,User,62,3,0,0,18,2,10,1,10,1
SemesterProjectTestM,entity,Student,23,3,0,0,9,2,5,1,5,1
SemesterProjectTestM,entity,Semester,35,0,0,0,16,0,9,0,9,0
SemesterProjectTestM,entity,Teacher,60,15,0,0,26,7,16,2,16,2
